Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Score,Training Time
Random Forest,0.9629629629629629,1.0,0.8333333333333334,0.9090909090909091,1.0,0.9814814814814815,0.2627909183502197
XGBoost,0.9629629629629629,1.0,0.8333333333333334,0.9090909090909091,1.0,0.9722222222222222,0.06200599670410156
SVM,0.9259259259259259,1.0,0.6666666666666666,0.8,0.9682539682539683,0.8796296296296297,0.007258415222167969
Neural Network,0.8148148148148148,1.0,0.16666666666666666,0.2857142857142857,0.3412698412698413,0.7962962962962963,0.03384852409362793
