"No.","Time","Source","Destination","Protocol","Length","Info"
"40","8.733883120","192.168.87.13","192.168.87.17","TCP","74","44778  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791160 TSecr=0 WS=128"
"41","8.737219995","192.168.87.13","192.168.87.17","TCP","74","44780  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791164 TSecr=0 WS=128"
"42","8.741069980","192.168.87.13","192.168.87.17","TCP","74","44794  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791167 TSecr=0 WS=128"
"43","8.744234541","192.168.87.13","192.168.87.17","TCP","74","44796  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791171 TSecr=0 WS=128"
"44","8.747811526","192.168.87.13","192.168.87.17","TCP","74","44808  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791174 TSecr=0 WS=128"
"45","8.750353347","192.168.87.13","192.168.87.17","TCP","74","44820  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791177 TSecr=0 WS=128"
"46","8.754339166","192.168.87.13","192.168.87.17","TCP","74","44832  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791181 TSecr=0 WS=128"
"47","8.758079449","192.168.87.13","192.168.87.17","TCP","74","44842  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791185 TSecr=0 WS=128"
"48","8.763271451","192.168.87.13","192.168.87.17","TCP","74","44854  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791190 TSecr=0 WS=128"
"49","8.773064592","192.168.87.13","192.168.87.17","TCP","74","44868  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791200 TSecr=0 WS=128"
"50","8.798435868","192.168.87.13","192.168.87.17","TCP","74","44874  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791225 TSecr=0 WS=128"
"51","8.801976090","192.168.87.13","192.168.87.17","TCP","74","44884  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791229 TSecr=0 WS=128"
"52","8.805350833","192.168.87.13","192.168.87.17","TCP","74","44892  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791232 TSecr=0 WS=128"
"53","8.809086648","192.168.87.13","192.168.87.17","TCP","74","44904  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791236 TSecr=0 WS=128"
"54","8.812014307","192.168.87.13","192.168.87.17","TCP","74","44906  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791239 TSecr=0 WS=128"
"55","8.815094545","192.168.87.13","192.168.87.17","TCP","74","44910  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791242 TSecr=0 WS=128"
"56","8.818019137","192.168.87.13","192.168.87.17","TCP","74","44926  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791245 TSecr=0 WS=128"
"57","8.821897752","192.168.87.13","192.168.87.17","TCP","74","44932  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791248 TSecr=0 WS=128"
"58","8.824775367","192.168.87.13","192.168.87.17","TCP","74","44946  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791251 TSecr=0 WS=128"
"59","8.827820496","192.168.87.13","192.168.87.17","TCP","74","44956  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791254 TSecr=0 WS=128"
"60","8.831852287","192.168.87.13","192.168.87.17","TCP","74","44966  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791258 TSecr=0 WS=128"
"61","8.834041031","192.168.87.13","192.168.87.17","TCP","74","44972  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791261 TSecr=0 WS=128"
"62","8.837841794","192.168.87.13","192.168.87.17","TCP","74","44980  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791265 TSecr=0 WS=128"
"63","8.840855166","192.168.87.13","192.168.87.17","TCP","74","44984  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791268 TSecr=0 WS=128"
"64","8.844209974","192.168.87.13","192.168.87.17","TCP","74","44994  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791271 TSecr=0 WS=128"
"65","8.848123348","192.168.87.13","192.168.87.17","TCP","74","45002  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791275 TSecr=0 WS=128"
"66","8.851462293","192.168.87.13","192.168.87.17","TCP","74","45010  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791278 TSecr=0 WS=128"
"67","8.854362912","192.168.87.13","192.168.87.17","TCP","74","45014  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791281 TSecr=0 WS=128"
"68","8.857425680","192.168.87.13","192.168.87.17","TCP","74","45016  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791284 TSecr=0 WS=128"
